Dross  n. 1 rubbish. 2 a scum from melted metals. B impurities. [old english]
Codex  n. (pl. Codices) 1 ancient manuscript text in book form. 2 collection of descriptions of drugs etc. [latin, = tablet, book]
Waver  v. 1 be or become unsteady; begin to give way. 2 be irresolute. 3 (of a light) flicker. [old norse: related to *wave]
Baize  n. Usu. Green woollen felted material, used for coverings. [french pl. Baies chestnut-coloured]
Adapt  v. 1 a (foll. By to) fit, adjust (one thing to another). B (foll. By to, for) make suitable for a purpose. C modify (esp. A text for broadcasting etc.). 2 (also refl., usu. Foll. By to) adjust to new conditions.  adaptable adj. Adaptation n. [latin: related to *ad-, *apt]
Baker  n. Person who bakes and sells bread, cakes, etc., esp. For a living.
Bough  n. Main branch of a tree. [old english]
Speak  v. (past spoke; past part. Spoken) 1 utter words in an ordinary voice. 2 utter (words, the truth, etc.). 3 a converse; talk (spoke to her earlier; had to speak to the children about rudeness). B (foll. By of, about) mention in writing etc. C (foll. By for) act as spokesman for. 4 (foll. By to) speak with reference to; support in words (spoke to the resolution). 5 make a speech. 6 use or be able to use (a specified language). 7 a convey an idea (actions speak louder than words). B (usu. Foll. By to) communicate feeling etc.; affect, touch (the sunset spoke to her).  generally (or strictly etc.) Speaking in the general (or strict etc.) Sense. Not (or nothing) to speak of not (or nothing) worth mentioning. On speaking terms friendly enough to converse. Speak for itself be sufficient evidence. Speak out (often followed by against) give one's opinion courageously. Speak up 1 speak loudly or freely; speak louder. 2 (followed by for) defend. Speak volumes be very significant. [old english]
Bezel  n. 1 sloped edge of a chisel. 2 oblique faces of a cut gem. 3 groove holding a watch-glass or gem. [french]
Dryad  n. Wood nymph. [greek drus tree]
Bible  n. 1 a (prec. By the) christian scriptures of old and new testaments. B (bible) copy of these. 2 (bible) colloq. Authoritative book.  biblical adj. [greek biblia books]
Proem  n. Preface etc. To a book or speech. [latin from greek]
Haver  v. 1 vacillate, hesitate. 2 dial. Talk foolishly. [origin unknown]
Rearm  v. (also absol.) Arm again, esp. With improved weapons.  rearmament n.
Oxide  n. Binary compound of oxygen. [french: related to *oxygen]
Sushi  n. Japanese dish of balls of cold rice topped with raw fish etc. [japanese]
Exert  v. 1 bring to bear, use (a quality, force, influence, etc.). 2 refl. (often foll. By for, or to + infin.) Use one's efforts or endeavours; strive.  exertion n. [latin exsero exsert- put forth]
Sepoy  n. Hist. Native indian soldier under european, esp. British, discipline. [persian sipahi soldier]
Kappa  n. Tenth letter of the greek alphabet (k, k). [greek]
Heart  n. 1 hollow muscular organ maintaining the circulation of blood by rhythmic contraction and dilation. 2 region of the heart; the breast. 3 a centre of thought, feeling, and emotion (esp. Love). B capacity for feeling emotion (has no heart). 4 a courage or enthusiasm (take heart). B mood or feeling (change of heart). 5 a central or innermost part of something. B essence (heart of the matter). 6 compact tender inner part of a lettuce etc. 7 a heart-shaped thing. B conventional representation of a heart with two equal curves meeting at a point at the bottom and a cusp at the top. 8 a playing-card of the suit denoted by a red figure of a heart. B (in pl.) This suit.  at heart 1 in one's inmost feelings. 2 basically. Break a person's heart overwhelm a person with sorrow. By heart from memory. Give (or lose) one's heart (often foll. By to) fall in love (with). Have the heart (usu. With neg.; foll. By to + infin.) Be insensitive or hard-hearted enough (didn't have the heart to ask him). Take to heart be much affected by. To one's heart's content see *content1. With all one's heart sincerely; with all goodwill. [old english]
Crape  n. Crêpe, usu. Of black silk, formerly used for mourning. [from *crêpe]
Genie  n. (pl. Genii) (in arabian tales) spirit or goblin with magical powers. [french génie *genius: cf. *jinnee]
Conch  n. 1 thick heavy spiral shell of various marine gastropod molluscs. 2 any such gastropod. [latin concha]
Fiche  n. (pl. Same or -s) microfiche. [abbreviation]
Magma  n. (pl. -s) molten rock under the earth's crust, from which igneous rock is formed by cooling. [greek masso knead]
Dolby  n. Propr. Electronic noise-reduction system used esp. In tape-recording to reduce hiss. [name of its inventor]
Pinta  n. Colloq. Pint of milk. [corruption of pint of]
Tress  n. 1 long lock of human (esp. Female) hair. 2 (in pl.) Woman's or girl's head of hair. [french]
Unite  v. (-ting) 1 join together; combine, esp. For a common purpose or action (united in their struggle). 2 join in marriage. 3 (cause to) form a physical or chemical whole (oil will not unite with water). [latin unio -it- from unus one]
Fogey  var. Of *fogy.
Balsa  n. 1 (in full balsa-wood) tough lightweight wood used for making models etc. 2 tropical american tree yielding it. [spanish, = raft]
Cater  v. 1 supply food. 2 (foll. By for) provide what is needed or desired (caters for all tastes). 3 (foll. By to) pander to (esp. Low tastes). [anglo-french acatour buyer, from latin capto: related to *catch]
Booby  n. (pl. -ies) stupid or childish person. [spanish bobo]
Tacho  n. (pl. -s) colloq. = *tachometer. [abbreviation]
Yeast  n. Greyish-yellow fungus obtained esp. From fermenting malt liquors and used as a fermenting agent, to raise bread, etc. [old english]
Baron  n. 1 member of the lowest order of the british or foreign nobility. 2 powerful businessman, entrepreneur, etc. 3 hist. Person holding lands from the sovereign.  baronial adj. [medieval latin, = man]
Repel  v. (-ll-) 1 drive back; ward off (repel an attacker). 2 refuse to accept (repelled offers of help). 3 be repulsive or distasteful to. 4 resist mixing with or admitting (oil and water repel each other; surface repels moisture). 5 (of a magnetic pole) push away from itself (like poles repel).  repellent adj. & n. [latin repello -puls-]
Skimp  v. 1 (often followed by on) economize; use a meagre or insufficient amount of, stint. 2 (often foll. By in) supply (a person etc.) Meagrely with food etc. 3 do hastily or carelessly. [cf. *scrimp]
Kayak  n. 1 eskimo one-man canoe of wood and sealskins. 2 small covered canoe. [eskimo]
Enter  v. 1 go or come in or into. 2 come on stage (also as a direction: enter macbeth). 3 penetrate (bullet entered his arm). 4 write (name, details, etc.) In a list, book, etc. 5 register, record the name of as a competitor (entered for the long jump). 6 a become a member of (a society or profession). B enrol in a school etc. 7 make known; present for consideration (enter a protest). 8 record formally (before a court of law etc.). 9 (foll. By into) a engage in (conversation etc.). B subscribe to; bind oneself by (an agreement, contract, etc.). C form part of (a calculation, plan, etc.). D sympathize with (feelings). 10 (foll. By on, upon) a begin; begin to deal with. B assume the functions of (an office) or possession of (property). [latin intra within]
Kauri  n. (pl. -s) coniferous new zealand tree yielding timber and resin. [maori]
Credo  n. (pl. -s) creed. [latin, = i believe]
Swami  n. (pl. -s) hindu male religious teacher. [hindi svami]
Sheen  n. 1 gloss or lustre. 2 brightness.  sheeny adj. [old english, = beautiful]
Mamma  var. Of *mama.
Hindi  n. 1 group of spoken dialects of n. India. 2 literary form of hindustani, an official language of india. [urdu hind india]
Kraal  n. S.afr. 1 village of huts enclosed by a fence. 2 enclosure for cattle or sheep. [afrikaans from portuguese curral, of hottentot origin]
Joist  n. Supporting beam in a floor, ceiling, etc. [french giste from latin jaceo lie]
Globe  n. 1 a (prec. By the) the earth. B spherical representation of it with a map on the surface. 2 spherical object, e.g. A fish-bowl, lamp, etc. [latin globus]
Equip  v. (-pp-) supply with what is needed. [old norse skipa to man a ship]
Oxbow  n. Loop formed by a horseshoe bend in a river.
Tench  n. (pl. Same) european freshwater fish of the carp family. [latin tinca]
Prove  v. (-ving; past part. Proved or proven) 1 (often foll. By that) demonstrate the truth of by evidence or argument. 2 a (usu. Foll. By to + infin.) Be found (it proved to be untrue). B emerge as (will prove the winner). 3 test the accuracy of (a calculation). 4  establish the validity of (a will). 5  (of dough) rise in bread-making.  not proven (in scottish law) verdict that there is insufficient evidence to establish guilt or innocence. Prove oneself show one's abilities, courage, etc.  provable adj. [latin probo test, approve]
Motto  n. (pl. -es) 1 maxim adopted as a rule of conduct. 2 phrase or sentence accompanying a coat of arms. 3 appropriate inscription. 4 joke, maxim, etc. In a paper cracker.  [italian: related to *mot]
Dutch  n. Slang wife. [abbreviation of *duchess]
Franc  n. Unit of currency of france, belgium, switzerland, etc. [french: related to *frank]
Krill  n. Tiny planktonic crustaceans. [norwegian kril tiny fish]
Allay  v. 1 diminish (fear, suspicion, etc.). 2 alleviate (pain etc.). [old english a- intensive prefix, *lay1]
Imbed  var. Of *embed.
Quoth  v. (only in 1st and 3rd person) archaic said. [old english]
Nitre  n. (us niter) saltpetre. [greek nitron]
Drupe  n. Fleshy stone-fruit, e.g. The olive and plum. [latin from greek]
Therm  n. Unit of heat, esp. As the statutory unit of gas supplied, equivalent to 100,000 british thermal units (1.055 x 108 joules). [greek therme heat]
Quern  n. Hand-mill for grinding corn. [old english]
Petal  n. Each of the parts of the corolla of a flower.  petalled adj. [greek petalon leaf]
Gismo  n. (also gizmo) (pl. -s) slang gadget. [origin unknown]
Krona  n. 1 (pl. Kronor) chief monetary unit of sweden. 2 (pl. Kronur) chief monetary unit of iceland. [swedish and icelandic, = *crown]
Salvo  n. (pl. -es or -s) 1 simultaneous discharge of guns etc. 2 round of applause. [italian salva]
Ochre  n. (us ocher) 1 earth used as yellow, brown, or red pigment. 2 pale brownish-yellow colour.  ochreous adj. [greek okhra]
Buret  n. (brit. Burette) graduated glass tube with an end-tap for measuring liquid in chemical analysis. [french]
Dough  n. 1 thick mixture of flour etc. And liquid for baking. 2 slang money.  doughy adj. (-ier, -iest). [old english]
Roach  n. (pl. Same or -es) small freshwater fish of the carp family. [french]
Sedge  n. Waterside or marsh plant resembling coarse grass.  sedgy adj. [old english]
Cadre  n. 1 basic unit, esp. Of servicemen. 2 group of esp. Communist activists. [french from latin quadrus square]
Sinew  n. 1 tough fibrous tissue uniting muscle to bone; a tendon. 2 (in pl.) Muscles; bodily strength. 3 (in pl.) Strength or framework of a thing.  sinewy adj. [old english]
Aster  n. Plant with bright daisy-like flowers. [greek, = star]
Revue  n. Entertainment of short usu. Satirical sketches and songs. [french: related to *review]
Wagon  n. (also waggon) 1 four-wheeled vehicle for heavy loads. 2 railway vehicle, esp. An open truck. 3 tea trolley.  on the wagon (or water-wagon) slang teetotal. [dutch: related to *wain]
Thole  n. (in full thole-pin) 1 pin in the gunwale of a boat as the fulcrum for an oar. 2 each of two such pins forming a rowlock. [old english]
Buggy  n. (pl. -ies) 1 small, sturdy, esp. Open, motor vehicle. 2 lightweight push-chair. 3 light, horse-drawn vehicle for one or two people. [origin unknown]
Liana  n. Climbing plant of tropical forests. [french]
Toils  n.pl. Net, snare. [toil from french: related to *toilet]
Thigh  n. Part of the leg between the hip and the knee. [old english]
Aphis  n. (pl. Aphides) aphid. [invented by linnaeus: perhaps a misreading of greek koris bug]
Lupus  n. Autoimmune inflammatory skin disease. [latin, = wolf]
Koala  n. (in full koala bear) small australian bearlike marsupial with thick grey fur. [aboriginal]
Unzip  v. (-pp-) unfasten the zip of.
Story  n. (pl. -ies) 1 account of imaginary or past events; tale, anecdote. 2 history of a person or institution etc. 3 (in full story-line) narrative or plot of a novel, play, etc. 4 facts or experiences worthy of narration. 5 colloq. Fib. [anglo-french estorie from latin: related to *history]
Angel  n. 1  a attendant or messenger of god. B representation of this in human form with wings. 2 virtuous or obliging person. 3 slang financial backer of a play etc. [greek aggelos messenger]
Foist  v. (foll. By on) force (a thing or oneself) on to an unwilling person. [dutch vuisten take in the hand]
